 
 
 					 


S/No,Package ID,DRN No.,Supplier ID,Supplier Name,Supplier Email ID,Supplier Address,Supplier Contact Person,Product Name,Product Manufacturer,Product Model,Product Details,Clinic ID,Clinic Name,Clinic Address,Clinic Type,Batch,Supplier Zone,PO No.,PO Date,BE No,BE Type,State,District,Delivery date and time,T&C Date and Time,Serial No.,Actual T&C Date,Delivery Status,
"236","01 06","QMS 01/06/06/023661","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH080","Klinik Kesihatan Ibu dan Anak  Sipitang","D A Pejabat Kesihatan Kawasan Beaufoft  Peti Surat 101 89850  Beaufort","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA082","NBE","SABAH","SIPITANG","2018-01-18 3:00PM","2018-01-18 3:00PM","fv-75016813","26-02-2018","Products Installed",
"237","01 06","QMS 01/06/06/023662","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH085","Klinik Kesihatan Ibu dan Anak Jalan Kebajikan","D A Pejabat Kesihatan Kawasan Kota Kinabalu  Lot 21 24 Tkt  2  Blok C  Heritage ","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA084","NBE","SABAH","KOTA KINABALU","2018-01-30 10:00AM","2018-01-30 10:00AM","fv-75016824","21-02-2018","Products Installed",
"238","01 06","QMS 01/06/06/023663","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH085","Klinik Kesihatan Ibu dan Anak Jalan Kebajikan","D A Pejabat Kesihatan Kawasan Kota Kinabalu  Lot 21 24 Tkt  2  Blok C  Heritage ","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA085","NBE","SABAH","KOTA KINABALU","2018-01-30 10:00AM","2018-01-30 10:00AM","fv-75016829","21-02-2018","Products Installed",
"239","01 06","QMS 01/06/06/023664","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH088","Klinik Kesihatan Ibu dan Anak Kota Marudu","D A Pejabat Kesihatan Kawasan Kudat  Beg Berkunci 6  89059  Kudat","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA088","NBE","SABAH","KOTA MARUDU","2018-01-11 10:00AM","2018-01-11 10:00AM","fv-75016831","01-03-2018","Products Installed",
"240","01 06","QMS 01/06/06/023665","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH090","Klinik Kesihatan Ibu dan Anak Pitas (Klinik Kesihatan Ibu dan Anak Kalumpang)","D A Pejabat Kesihatan Kawasan Kudat  Beg Berkunci 6 89059  Kudat","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA089","NBE","SABAH","PITAS","2018-01-10 11:30AM","2018-01-10 11:30AM","fv-75016833","01-03-2018","Products Installed",
"241","01 06","QMS 01/06/06/023666","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH090","Klinik Kesihatan Ibu dan Anak Pitas (Klinik Kesihatan Ibu dan Anak Kalumpang)","D A Pejabat Kesihatan Kawasan Kudat  Beg Berkunci 6 89059  Kudat","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA090","NBE","SABAH","PITAS","2018-01-10 11:30AM","2018-01-10 11:30AM","fv-75016834","01-03-2018","Products Installed",
"242","01 06","QMS 01/06/06/023667","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH097","Klinik Kesihatan Ibu dan Anak Kota Belud","D A Pejabat Kesihatan Kawasan Tuaran  Peti Surat 620 89158  Tuaran","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA097","NBE","SABAH","KOTA BELUD","2018-01-24 11:00AM","2018-01-24 11:00AM","fv-75016675","12-03-2018","Products Installed",
"243","01 06","QMS 01/06/06/023668","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH097","Klinik Kesihatan Ibu dan Anak Kota Belud","D A Pejabat Kesihatan Kawasan Tuaran  Peti Surat 620 89158  Tuaran","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA098","NBE","SABAH","KOTA BELUD","2018-01-24 11:00AM","2018-01-24 11:00AM","fv-75016844","12-03-2018","Products Installed",
"244","01 06","QMS 01/06/06/023669","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH099","Klinik Kesihatan Ibu dan Anak Tuaran","D A Pejabat Kesihatan Kawasan Tuaran  W D T  10   PetiSurat 620  89307  Tuaran","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA099","NBE","SABAH","TUARAN","2018-01-30 2:00PM","2018-01-30 2:00PM","fv-75016846","21-02-2018","Products Installed",
"245","01 06","QMS 01/06/06/023670","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH099","Klinik Kesihatan Ibu dan Anak Tuaran","D A Pejabat Kesihatan Kawasan Tuaran  W D T  10   PetiSurat 620  89307  Tuaran","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA100","NBE","SABAH","TUARAN","2018-01-30 2:00PM","2018-01-30 2:00PM","fv-75016847","21-02-2018","Products Installed",
"246","01 06","QMS 01/06/06/023671","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH166","Klinik Kesihatan Narandang, Kudat","D A PKK Kudat  Peti Surat 6  89507 Kudat  89108 Kudat  Sabah","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA101","NBE","SABAH","KUDAT","2018-02-28 8:00AM","2018-02-28 8:00AM","fv-75016848","12-03-2018","Products Installed",
"247","01 06","QMS 01/06/06/023672","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH166","Klinik Kesihatan Narandang, Kudat","D A PKK Kudat  Peti Surat 6  89507 Kudat  89108 Kudat  Sabah","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA102","NBE","SABAH","KUDAT","2018-02-28 8:00AM","2018-02-28 8:00AM","fv-75016849","12-03-2018","Products Installed",
"248","01 06","QMS 01/06/06/023673","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH246","Klinik Kesihatan Long Pasia, Sipitang","D A PKK Beaufort  Peti Surat 101  89807 Beaufort Sabah","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA103","NBE","SABAH","SIPITANG","2018-02-06 2:00PM","2018-02-06 2:00PM","fv-75016850","26-02-2018","Products Installed",
"249","01 06","QMS 01/06/06/023674","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH246","Klinik Kesihatan Long Pasia, Sipitang","D A PKK Beaufort  Peti Surat 101  89807 Beaufort Sabah","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA104","NBE","SABAH","SIPITANG","2018-02-06 2:00PM","2018-02-06 2:00PM","fv-75016851","26-02-2018","Products Installed",
"250","01 06","QMS 01/06/06/023675","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH558","Klinik 1 Malaysia Kudat Maju, Kudat","Lot No 3  Ground  Floor Kudat Maju Shopping Centre Jalan Paduka Mat Salleh  8905","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA108","NBE","SABAH","KUDAT","2018-01-11 11:30AM","2018-01-11 11:30AM","fv-75016854","12-03-2018","Products Installed",
"251","01 06","QMS 01/06/06/023676","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SBH561","Klinik 1 Malaysia Taman Sri Rugarding, Tuaran","Jalan Norowot  Taman Rugarding  Tuaran Sabah","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SBNSPA110","NBE","SABAH","TUARAN","2018-01-30 4:00PM","2018-01-30 4:00PM","fv-75016857","21-02-2018","Products Installed",
"252","01 06","QMS 01/06/06/023677","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK020","Klinik Kesihatan Kakus","Klinik Kesihatan Kakus Lebuh Raya Abang Galau  Tatau 97000 Bintulu","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA053","NBE","SARAWAK","BINTULU","2018-02-20 8:00AM","2018-02-20 8:00AM","FV-7C02005","09-04-2018","Products Installed",
"253","01 06","QMS 01/06/06/023678","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK021","Klinik Kesihatan Kuala Tatau","Klinik Kesihatan Kuala Tatau   Kg Kuala Tatau  Tatau  97000Bintulu","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA054","NBE","SARAWAK","BINTULU","2018-02-20 8:00AM","2018-02-20 8:00AM","FV-7C020039","09-04-2018","Products Installed",
"254","01 06","QMS 01/06/06/023679","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK022","Klinik Kesihatan Nanga Tau","Klinik Kesihatan Nanga Tau Lebuh Raya Abang Galau  Tatau 97000  Bintulu","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA055","NBE","SARAWAK","BINTULU","2018-02-20 8:00AM","2018-02-20 8:00AM","FV-7C20004","09-04-2018","Products Installed",
"255","01 06","QMS 01/06/06/023680","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK022","Klinik Kesihatan Nanga Tau","Klinik Kesihatan Nanga Tau Lebuh Raya Abang Galau  Tatau 97000  Bintulu","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA056","NBE","SARAWAK","BINTULU","2018-02-20 8:00AM","2018-02-20 8:00AM","FV-7C020024","09-04-2018","Products Installed",
"256","01 06","QMS 01/06/06/023681","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK027","Klinik Kesihatan Nanga Bena","Klinik Kesihatan Nanga Bena","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA059","NBE","SARAWAK","KAPIT","2017-12-20 8:00AM","2017-12-20 8:00AM","FV-75016709","14-03-2018","Products Installed",
"257","01 06","QMS 01/06/06/023682","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK027","Klinik Kesihatan Nanga Bena","Klinik Kesihatan Nanga Bena","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA060","NBE","SARAWAK","KAPIT","2017-12-20 8:00AM","2017-12-20 8:00AM","FV-75016711","14-03-2018","Products Installed",
"258","01 06","QMS 01/06/06/023683","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK030","Klinik Kesihatan Nanga Ibau","Klinik Kesihatan Nanga Ibau  96800  Kapit","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA063","NBE","SARAWAK","KAPIT","2017-12-21 8:00AM","2017-12-21 8:00AM","FV-75016718","14-03-2018","Products Installed",
"259","01 06","QMS 01/06/06/023684","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK033","Klinik Kesihatan Nanga Mujong","Klinik Kesihatan Nanga Mujong  96800  Kapit","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA067","NBE","SARAWAK","KAPIT","2017-12-22 8:00AM","2017-12-22 8:00AM","FV-75016723","14-03-2018","Products Installed",
"260","01 06","QMS 01/06/06/023685","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK033","Klinik Kesihatan Nanga Mujong","Klinik Kesihatan Nanga Mujong  96800  Kapit","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA068","NBE","SARAWAK","KAPIT","2017-12-22 8:00AM","2017-12-22 8:00AM","FV-7501725","14-03-2018","Products Installed",
"261","01 06","QMS 01/06/06/023686","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK036","Klinik Kesihatan Belaga","Klinik Kesihatan Belaga  96800  Belaga","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA073","NBE","SARAWAK","KAPIT","2018-01-02 8:00AM","2018-01-02 8:00AM","FV-75016861","14-03-2018","Products Installed",
"262","01 06","QMS 01/06/06/023687","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK036","Klinik Kesihatan Belaga","Klinik Kesihatan Belaga  96800  Belaga","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA074","NBE","SARAWAK","KAPIT","2018-01-02 8:00AM","2018-01-02 8:00AM","FV-75016863","14-03-2018","Products Installed",
"263","01 06","QMS 01/06/06/023688","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK039","Klinik Kesihatan Sungai Asap","Klinik Kesihatan Sungai Asap  96800  Belaga","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA079","NBE","SARAWAK","KAPIT","2018-01-03 8:00AM","2018-01-03 8:00AM","FV-75016756","14-03-2018","Products Installed",
"264","01 06","QMS 01/06/06/023689","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK039","Klinik Kesihatan Sungai Asap","Klinik Kesihatan Sungai Asap  96800  Belaga","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA080","NBE","SARAWAK","KAPIT","2018-01-03 8:00AM","2018-01-03 8:00AM","FV-75016761","14-03-2018","Products Installed",
"265","01 06","QMS 01/06/06/023690","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK039","Klinik Kesihatan Sungai Asap","Klinik Kesihatan Sungai Asap  96800  Belaga","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA081","NBE","SARAWAK","KAPIT","2018-01-03 8:00AM","2018-01-03 8:00AM","FV-75016766","14-03-2018","Products Installed",
"266","01 06","QMS 01/06/06/023691","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK040","Klinik Kesihatan Sungai Koyan","Klinik Kesihatan Sungai Koyan  96800  Belaga","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA082","NBE","SARAWAK","KAPIT","2018-01-04 8:00AM","2018-01-04 8:00AM","FV-75016767","14-03-2018","Products Installed",
"267","01 06","QMS 01/06/06/023692","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Sphygmomanometers, Electronic, Automatic","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","VS 900 NIBP","Sphygmomanometers, Electronic, Automatic","SWK040","Klinik Kesihatan Sungai Koyan","Klinik Kesihatan Sungai Koyan  96800  Belaga","KK","Batch 6","East Malaysia","PO108309","2017-02-01","SWNSPA083","NBE","SARAWAK","KAPIT","2018-01-04 8:00AM","2018-01-04 8:00AM","FV-75016769","14-03-2018","Products Installed",
"268","01 08","QMS 01/08/06/023833","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Oximeters, Pulse","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","PM60","Oximeters, Pulse","SBH017","Klinik Kesihatan Mansiat","D A PKK Keningau  Peti Surat 94  89007 Keningau Sabah","KK","Batch 6","East Malaysia","PO106618","2016-09-01","SBNOXP033","NBE","SABAH","KENINGAU","2018-01-19 2:00PM","2018-01-19 2:00PM","cr-76181465","07-02-2018","Products Installed",
"269","01 08","QMS 01/08/06/023834","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Oximeters, Pulse","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","PM60","Oximeters, Pulse","SBH017","Klinik Kesihatan Mansiat","D A PKK Keningau  Peti Surat 94  89007 Keningau Sabah","KK","Batch 6","East Malaysia","PO106618","2016-09-01","SBNOXP034","NBE","SABAH","KENINGAU","2018-01-19 2:00PM","2018-01-19 2:00PM","cr-7681562","07-02-2018","Products Installed",
"270","01 08","QMS 01/08/06/023835","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Oximeters, Pulse","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","PM60","Oximeters, Pulse","SBH019","Klinik Kesihatan Tulid","D A PKK Keningau  Tkt Bawah  Rumah Persekutuan Peti Surat94  89007 Keningau Saba","KK","Batch 6","East Malaysia","PO106618","2016-09-01","SBNOXP035","NBE","SABAH","KENINGAU","2018-01-19 2:00PM","2018-01-19 2:00PM","cr-76181563","07-02-2018","Products Installed",
"271","01 08","QMS 01/08/06/023836","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Oximeters, Pulse","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","PM60","Oximeters, Pulse","SBH019","Klinik Kesihatan Tulid","D A PKK Keningau  Tkt Bawah  Rumah Persekutuan Peti Surat94  89007 Keningau Saba","KK","Batch 6","East Malaysia","PO106618","2016-09-01","SBNOXP036","NBE","SABAH","KENINGAU","2018-01-19 2:00PM","2018-01-19 2:00PM","cr-76181564","07-02-2018","Products Installed",
"272","01 08","QMS 01/08/06/023837","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Oximeters, Pulse","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","PM60","Oximeters, Pulse","SBH020","Klinik Kesihatan Nabawan","D A PKK Nabawan  Peti Surat No 16 89957 Nabawan Sabah","KK","Batch 6","East Malaysia","PO106618","2016-09-01","SBNOXP037","NBE","SABAH","NABAWAN","2018-01-19 2:00PM","2018-01-19 2:00PM","cr-76181470","07-02-2018","Products Installed",
"273","01 08","QMS 01/08/06/023838","SUP016","MALAYSIAN HEALTHCARE SDN BHD","operations@maycare.com","10, JALAN ANGGERIK VANILLA Q31/1Q KOTA KEMUNING 40460 SHAH ALAM SELANGOR","Ms Premah","Oximeters, Pulse","Shenzhen Mindray Bio Medical Electronics Co., Ltd.","PM60","Oximeters, Pulse","SBH020","Klinik Kesihatan Nabawan","D A PKK Nabawan  Peti Surat No 16 89957 Nabawan Sabah","KK","Batch 6","East Malaysia","PO106618","2016-09-01","SBNOXP038","NBE","SABAH","NABAWAN","2018-01-19 2:00PM","2018-01-19 2:00PM","cr-76181565","07-02-2018","Products Installed",
