BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
JHPSPL005,SPIROMETERS| LOW,JHR003,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
MLPSPL129,SPIROMETERS| LOW,MLK069,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL130,SPIROMETERS| LOW,MLK168,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL131,SPIROMETERS| LOW,MLK169,KESIHATAN,MELAKA TENGAH,MELAKA,DEA,ACT
MLPSPL132,SPIROMETERS| LOW,MLK170,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
MLPSPL133,SPIROMETERS| LOW,MLK188,KESIHATAN,JASIN,MELAKA,DEA,ACT
MLPSPL134,SPIROMETERS| LOW,MLK189,KESIHATAN,ALOR GAJAH,MELAKA,DEA,ACT
PNPSPL005,SPIROMETERS| LOW,PNG002,KESIHATAN,BARAT DAYA,PULAU PINANG,DEA,ACT
PNPSPL006,SPIROMETERS| LOW,PNG002,KESIHATAN,BARAT DAYA,PULAU PINANG,DEA,ACT
PNPSPL007,SPIROMETERS| LOW,PNG002,KESIHATAN,BARAT DAYA,PULAU PINANG,DEA,ACT
PNPSPL014,SPIROMETERS| LOW,PNG003,KESIHATAN,BARAT DAYA,PULAU PINANG,DEA,ACT
PNPSPL015,SPIROMETERS| LOW,PNG003,KESIHATAN,BARAT DAYA,PULAU PINANG,DEA,ACT
PNPSPL016,SPIROMETERS| LOW,PNG003,KESIHATAN,BARAT DAYA,PULAU PINANG,DEA,ACT
PNPSPL023,SPIROMETERS| LOW,PNG013,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL024,SPIROMETERS| LOW,PNG013,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL025,SPIROMETERS| LOW,PNG013,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL032,SPIROMETERS| LOW,PNG014,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL033,SPIROMETERS| LOW,PNG014,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL034,SPIROMETERS| LOW,PNG014,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL039,SPIROMETERS| LOW,PNG015,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL040,SPIROMETERS| LOW,PNG015,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL041,SPIROMETERS| LOW,PNG015,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL049,SPIROMETERS| LOW,PNG017,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL050,SPIROMETERS| LOW,PNG017,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL051,SPIROMETERS| LOW,PNG017,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL058,SPIROMETERS| LOW,PNG018,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL059,SPIROMETERS| LOW,PNG018,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL060,SPIROMETERS| LOW,PNG018,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL067,SPIROMETERS| LOW,PNG019,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL068,SPIROMETERS| LOW,PNG019,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL069,SPIROMETERS| LOW,PNG019,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL076,SPIROMETERS| LOW,PNG022,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL077,SPIROMETERS| LOW,PNG022,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL078,SPIROMETERS| LOW,PNG022,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL085,SPIROMETERS| LOW,PNG023,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL086,SPIROMETERS| LOW,PNG023,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL087,SPIROMETERS| LOW,PNG023,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL094,SPIROMETERS| LOW,PNG025,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL095,SPIROMETERS| LOW,PNG025,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL096,SPIROMETERS| LOW,PNG025,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL103,SPIROMETERS| LOW,PNG027,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL104,SPIROMETERS| LOW,PNG027,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL105,SPIROMETERS| LOW,PNG027,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL110,SPIROMETERS| LOW,PNG005,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL111,SPIROMETERS| LOW,PNG005,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL112,SPIROMETERS| LOW,PNG005,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL118,SPIROMETERS| LOW,PNG006,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL119,SPIROMETERS| LOW,PNG006,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL120,SPIROMETERS| LOW,PNG006,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL126,SPIROMETERS| LOW,PNG007,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL127,SPIROMETERS| LOW,PNG007,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL128,SPIROMETERS| LOW,PNG007,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL134,SPIROMETERS| LOW,PNG009,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL135,SPIROMETERS| LOW,PNG009,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL136,SPIROMETERS| LOW,PNG009,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL142,SPIROMETERS| LOW,PNG011,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL143,SPIROMETERS| LOW,PNG011,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL144,SPIROMETERS| LOW,PNG011,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL151,SPIROMETERS| LOW,PNG012,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL152,SPIROMETERS| LOW,PNG012,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL159,SPIROMETERS| LOW,PNG021,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL160,SPIROMETERS| LOW,PNG021,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL161,SPIROMETERS| LOW,PNG021,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL167,SPIROMETERS| LOW,PNG026,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL168,SPIROMETERS| LOW,PNG026,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL169,SPIROMETERS| LOW,PNG026,KESIHATAN,TIMUR LAUT,PULAU PINANG,DEA,ACT
PNPSPL174,SPIROMETERS| LOW,PNG004,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL175,SPIROMETERS| LOW,PNG004,KESIHATAN,SEBERANG PERAI SELATAN,PULAU PINANG,DEA,ACT
PNPSPL177,SPIROMETERS| LOW,PNG008,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL178,SPIROMETERS| LOW,PNG008,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL179,SPIROMETERS| LOW,PNG008,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL184,SPIROMETERS| LOW,PNG010,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL185,SPIROMETERS| LOW,PNG010,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL186,SPIROMETERS| LOW,PNG010,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL191,SPIROMETERS| LOW,PNG016,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL192,SPIROMETERS| LOW,PNG016,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL207,SPIROMETERS| LOW,PNG070,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL208,SPIROMETERS| LOW,PNG070,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,DEA,ACT
PNPSPL209,SPIROMETERS| LOW,PNG086,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PNPSPL210,SPIROMETERS| LOW,PNG086,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,DEA,ACT
PRPSPL005,SPIROMETERS| LOW,PRK004,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL006,SPIROMETERS| LOW,PRK004,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL007,SPIROMETERS| LOW,PRK004,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL008,SPIROMETERS| LOW,PRK004,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL009,SPIROMETERS| LOW,PRK004,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL014,SPIROMETERS| LOW,PRK006,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL015,SPIROMETERS| LOW,PRK006,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL016,SPIROMETERS| LOW,PRK006,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL017,SPIROMETERS| LOW,PRK006,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL018,SPIROMETERS| LOW,PRK006,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL021,SPIROMETERS| LOW,PRK030,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL022,SPIROMETERS| LOW,PRK030,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL030,SPIROMETERS| LOW,PRK031,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL031,SPIROMETERS| LOW,PRK031,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL032,SPIROMETERS| LOW,PRK031,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL041,SPIROMETERS| LOW,PRK033,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL042,SPIROMETERS| LOW,PRK033,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL043,SPIROMETERS| LOW,PRK033,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL044,SPIROMETERS| LOW,PRK033,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL045,SPIROMETERS| LOW,PRK033,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL046,SPIROMETERS| LOW,PRK033,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL047,SPIROMETERS| LOW,PRK033,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL050,SPIROMETERS| LOW,PRK034,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL051,SPIROMETERS| LOW,PRK034,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL052,SPIROMETERS| LOW,PRK034,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL053,SPIROMETERS| LOW,PRK034,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL058,SPIROMETERS| LOW,PRK037,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL059,SPIROMETERS| LOW,PRK037,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL060,SPIROMETERS| LOW,PRK037,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL061,SPIROMETERS| LOW,PRK037,KESIHATAN,KINTA,PERAK,DEA,ACT
PRPSPL067,SPIROMETERS| LOW,PRK051,KESIHATAN,LARUT MATANG SELAMA,PERAK,DEA,ACT
PRPSPL068,SPIROMETERS| LOW,PRK051,KESIHATAN,LARUT MATANG SELAMA,PERAK,DEA,ACT
PRPSPL069,SPIROMETERS| LOW,PRK051,KESIHATAN,LARUT MATANG SELAMA,PERAK,DEA,ACT
PRPSPL070,SPIROMETERS| LOW,PRK051,KESIHATAN,LARUT MATANG SELAMA,PERAK,DEA,ACT
PRPSPL085,SPIROMETERS| LOW,PRK060,KESIHATAN,LARUT MATANG SELAMA,PERAK,DEA,ACT
PRPSPL086,SPIROMETERS| LOW,PRK060,KESIHATAN,LARUT MATANG SELAMA,PERAK,DEA,ACT
PRPSPL093,SPIROMETERS| LOW,PRK001,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL094,SPIROMETERS| LOW,PRK001,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL095,SPIROMETERS| LOW,PRK001,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL096,SPIROMETERS| LOW,PRK001,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL097,SPIROMETERS| LOW,PRK001,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL098,SPIROMETERS| LOW,PRK001,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL101,SPIROMETERS| LOW,PRK002,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL102,SPIROMETERS| LOW,PRK002,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL103,SPIROMETERS| LOW,PRK002,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL104,SPIROMETERS| LOW,PRK002,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL105,SPIROMETERS| LOW,PRK002,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL106,SPIROMETERS| LOW,PRK002,KESIHATAN,MUALLIM,PERAK,DEA,ACT
PRPSPL109,SPIROMETERS| LOW,PRK003,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL110,SPIROMETERS| LOW,PRK003,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL111,SPIROMETERS| LOW,PRK003,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL112,SPIROMETERS| LOW,PRK003,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL113,SPIROMETERS| LOW,PRK003,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL114,SPIROMETERS| LOW,PRK003,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL117,SPIROMETERS| LOW,PRK005,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL118,SPIROMETERS| LOW,PRK005,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL119,SPIROMETERS| LOW,PRK005,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL120,SPIROMETERS| LOW,PRK005,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL121,SPIROMETERS| LOW,PRK005,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL122,SPIROMETERS| LOW,PRK005,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL125,SPIROMETERS| LOW,PRK008,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL126,SPIROMETERS| LOW,PRK008,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL127,SPIROMETERS| LOW,PRK008,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL128,SPIROMETERS| LOW,PRK008,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL129,SPIROMETERS| LOW,PRK008,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL130,SPIROMETERS| LOW,PRK008,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL133,SPIROMETERS| LOW,PRK009,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL134,SPIROMETERS| LOW,PRK009,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL135,SPIROMETERS| LOW,PRK009,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL136,SPIROMETERS| LOW,PRK009,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL137,SPIROMETERS| LOW,PRK009,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL138,SPIROMETERS| LOW,PRK009,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL141,SPIROMETERS| LOW,PRK010,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL142,SPIROMETERS| LOW,PRK010,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL143,SPIROMETERS| LOW,PRK010,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL144,SPIROMETERS| LOW,PRK010,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL145,SPIROMETERS| LOW,PRK010,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL146,SPIROMETERS| LOW,PRK010,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL149,SPIROMETERS| LOW,PRK013,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL150,SPIROMETERS| LOW,PRK013,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL151,SPIROMETERS| LOW,PRK013,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL152,SPIROMETERS| LOW,PRK013,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL153,SPIROMETERS| LOW,PRK013,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL154,SPIROMETERS| LOW,PRK013,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL157,SPIROMETERS| LOW,PRK014,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL158,SPIROMETERS| LOW,PRK014,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL159,SPIROMETERS| LOW,PRK014,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL160,SPIROMETERS| LOW,PRK014,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL161,SPIROMETERS| LOW,PRK014,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL162,SPIROMETERS| LOW,PRK014,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL165,SPIROMETERS| LOW,PRK016,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL166,SPIROMETERS| LOW,PRK016,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL167,SPIROMETERS| LOW,PRK016,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL168,SPIROMETERS| LOW,PRK016,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL169,SPIROMETERS| LOW,PRK016,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL170,SPIROMETERS| LOW,PRK016,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL173,SPIROMETERS| LOW,PRK019,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL174,SPIROMETERS| LOW,PRK019,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL175,SPIROMETERS| LOW,PRK019,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL176,SPIROMETERS| LOW,PRK019,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL177,SPIROMETERS| LOW,PRK019,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL178,SPIROMETERS| LOW,PRK019,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL181,SPIROMETERS| LOW,PRK021,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL182,SPIROMETERS| LOW,PRK021,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL183,SPIROMETERS| LOW,PRK021,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL184,SPIROMETERS| LOW,PRK021,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL185,SPIROMETERS| LOW,PRK021,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL186,SPIROMETERS| LOW,PRK021,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL197,SPIROMETERS| LOW,PRK058,KESIHATAN,LARUT MATANG SELAMA,PERAK,DEA,ACT
PRPSPL205,SPIROMETERS| LOW,PRK063,KESIHATAN,MANJUNG,PERAK,DEA,ACT
PRPSPL206,SPIROMETERS| LOW,PRK063,KESIHATAN,MANJUNG,PERAK,DEA,ACT
PRPSPL207,SPIROMETERS| LOW,PRK063,KESIHATAN,MANJUNG,PERAK,DEA,ACT
PRPSPL208,SPIROMETERS| LOW,PRK063,KESIHATAN,MANJUNG,PERAK,DEA,ACT
PRPSPL214,SPIROMETERS| LOW,PRK064,KESIHATAN,MANJUNG,PERAK,DEA,ACT
PRPSPL222,SPIROMETERS| LOW,PRK068,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL223,SPIROMETERS| LOW,PRK068,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL224,SPIROMETERS| LOW,PRK068,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL225,SPIROMETERS| LOW,PRK068,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL226,SPIROMETERS| LOW,PRK068,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL227,SPIROMETERS| LOW,PRK068,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL229,SPIROMETERS| LOW,PRK011,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL230,SPIROMETERS| LOW,PRK011,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL231,SPIROMETERS| LOW,PRK011,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL232,SPIROMETERS| LOW,PRK011,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL234,SPIROMETERS| LOW,PRK015,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL235,SPIROMETERS| LOW,PRK015,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL236,SPIROMETERS| LOW,PRK015,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL237,SPIROMETERS| LOW,PRK015,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL238,SPIROMETERS| LOW,PRK015,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL239,SPIROMETERS| LOW,PRK015,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL241,SPIROMETERS| LOW,PRK017,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL242,SPIROMETERS| LOW,PRK017,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL243,SPIROMETERS| LOW,PRK017,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL244,SPIROMETERS| LOW,PRK017,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL245,SPIROMETERS| LOW,PRK017,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL246,SPIROMETERS| LOW,PRK017,KESIHATAN,HULU PERAK,PERAK,DEA,ACT
PRPSPL248,SPIROMETERS| LOW,PRK029,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL249,SPIROMETERS| LOW,PRK029,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL250,SPIROMETERS| LOW,PRK029,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL251,SPIROMETERS| LOW,PRK029,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL252,SPIROMETERS| LOW,PRK029,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL253,SPIROMETERS| LOW,PRK029,KESIHATAN,KAMPAR,PERAK,DEA,ACT
PRPSPL282,SPIROMETERS| LOW,PRK071,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL283,SPIROMETERS| LOW,PRK071,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL284,SPIROMETERS| LOW,PRK071,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL285,SPIROMETERS| LOW,PRK071,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL286,SPIROMETERS| LOW,PRK071,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL287,SPIROMETERS| LOW,PRK071,KESIHATAN,PERAK TENGAH,PERAK,DEA,ACT
PRPSPL289,SPIROMETERS| LOW,PRK075,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL290,SPIROMETERS| LOW,PRK075,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL291,SPIROMETERS| LOW,PRK075,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL292,SPIROMETERS| LOW,PRK075,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL293,SPIROMETERS| LOW,PRK075,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL296,SPIROMETERS| LOW,PRK007,KESIHATAN,BATANG PADANG,PERAK,DEA,ACT
PRPSPL299,SPIROMETERS| LOW,PRK012,KESIHATAN,HILIR PERAK,PERAK,DEA,ACT
PRPSPL302,SPIROMETERS| LOW,PRK018,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL305,SPIROMETERS| LOW,PRK020,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL308,SPIROMETERS| LOW,PRK022,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL311,SPIROMETERS| LOW,PRK023,KESIHATAN,KERIAN,PERAK,DEA,ACT
PRPSPL314,SPIROMETERS| LOW,PRK024,KESIHATAN,KERIAN,PERAK,DEA,ACT
