 
 
 					 


S/No,Package ID,DRN No.,Supplier ID,Supplier Name,Supplier Email ID,Supplier Address,Supplier Contact Person,Product Name,Product Manufacturer,Product Model,Product Details,Clinic ID,Clinic Name,Clinic Address,Clinic Type,Batch,Supplier Zone,PO No.,PO Date,BE No,BE Type,State,District,Delivery date and time,T&C Date and Time,Serial No.,Delivery Status,
"543","02 11","QMS 02/11/04/014724","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG013","Klinik Kesihatan Butterworth","Seksyen 4  Jalan Bagan Luar 12000 Butterworth","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT042","NBE","PULAU PINANG","SEBERANG PERAI UTARA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480220","Products Installed",
"544","02 11","QMS 02/11/04/014725","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG017","Klinik Kesihatan Kepala Batas","Lot 1466 Mukim 6 13200 Kepala Batas","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT080","NBE","PULAU PINANG","SEBERANG PERAI UTARA","2017-08-02 8:00AM","2017-08-02 8:00AM","1704033745","Products Installed",
"545","02 11","QMS 02/11/04/014726","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG017","Klinik Kesihatan Kepala Batas","Lot 1466 Mukim 6 13200 Kepala Batas","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT081","NBE","PULAU PINANG","SEBERANG PERAI UTARA","2017-08-02 8:00AM","2017-08-02 8:00AM","1704033727","Products Installed",
"546","02 11","QMS 02/11/04/014727","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG014","Klinik Kesihatan Mak Mandin","Seksyen 3  Jalan Mak Mandin 13400 Butterworth","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT017","NBE","PULAU PINANG","SEBERANG PERAI UTARA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480247","Products Installed",
"547","02 11","QMS 02/11/04/014728","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG014","Klinik Kesihatan Mak Mandin","Seksyen 3  Jalan Mak Mandin 13400 Butterworth","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT018","NBE","PULAU PINANG","SEBERANG PERAI UTARA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480159","Products Installed",
"548","02 11","QMS 02/11/04/014729","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG016","Klinik Kesihatan Tasek Gelugor","Jalan Hashim Awang 13300 Tasek Gelugor","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT046","NBE","PULAU PINANG","SEBERANG PERAI UTARA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480252","Products Installed",
"549","02 11","QMS 02/11/04/014730","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG016","Klinik Kesihatan Tasek Gelugor","Jalan Hashim Awang 13300 Tasek Gelugor","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT047","NBE","PULAU PINANG","SEBERANG PERAI UTARA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480217","Products Installed",
"550","02 11","QMS 02/11/04/014731","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG027","Klinik Kesihatan  Bandar Baru Air Itam, Timur Laut","No 8 Jalan Angsana  Bandar Baru Air Itam  Pulau Pinang11500 Bdr Baru Air Itam","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT085","NBE","PULAU PINANG","TIMUR LAUT","2017-08-02 8:00AM","2017-08-02 8:00AM","00052947","Products Installed",
"551","02 11","QMS 02/11/04/014732","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG019","Klinik Kesihatan Air Itam","Jalan Bukit Bendera 11500 Bdr Air Itam","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT025","NBE","PULAU PINANG","TIMUR LAUT","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480108","Products Installed",
"552","02 11","QMS 02/11/04/014733","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG019","Klinik Kesihatan Air Itam","Jalan Bukit Bendera 11500 Bdr Air Itam","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT026","NBE","PULAU PINANG","TIMUR LAUT","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480244","Products Installed",
"553","02 11","QMS 02/11/04/014734","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG022","Klinik Kesihatan Jalan Macalister","No 56 Jalan Macalister  Pulau Pinang 10200 Georgetown","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT050","NBE","PULAU PINANG","TIMUR LAUT","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480250","Products Installed",
"554","02 11","QMS 02/11/04/014735","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG022","Klinik Kesihatan Jalan Macalister","No 56 Jalan Macalister  Pulau Pinang 10200 Georgetown","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT051","NBE","PULAU PINANG","TIMUR LAUT","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480164","Products Installed",
"555","02 11","QMS 02/11/04/014736","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG023","Klinik Kesihatan Jalan Perak","Jalan Perak  11600 Bdr Jelutong","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT084","NBE","PULAU PINANG","TIMUR LAUT","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480223","Products Installed",
"556","02 11","QMS 02/11/04/014737","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG024","Klinik Kesihatan Lebuh Muntri","No 36 Lebuh Muntri   Pulau Pinang 10200 Georgetown","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT053","NBE","PULAU PINANG","TIMUR LAUT","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480228","Products Installed",
"557","02 11","QMS 02/11/04/014738","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG025","Klinik Kesihatan Sungai Dua, Timur Laut","Jalan Sungai Dua Sungai Nibong Pulau Pinang  11700Georgetown","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT056","NBE","PULAU PINANG","TIMUR LAUT","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480218","Products Installed",
"558","02 11","QMS 02/11/04/014739","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG025","Klinik Kesihatan Sungai Dua, Timur Laut","Jalan Sungai Dua Sungai Nibong Pulau Pinang  11700Georgetown","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT057","NBE","PULAU PINANG","TIMUR LAUT","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480222","Products Installed",
"559","02 11","QMS 02/11/04/014740","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PNG026","Klinik Kesihatan Tanjung Bungah","Jalan Lembah Permai Tg Bungah 11200 Georgetown","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PNNOPT060","NBE","PULAU PINANG","TIMUR LAUT","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480219","Products Installed",
"560","02 11","QMS 02/11/04/014741","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK001","Klinik Kesihatan Bidor","Jln Besar Bidor  35500  Bidor","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT111","NBE","PERAK","BATANG PADANG","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480278","Products Installed",
"561","02 11","QMS 02/11/04/014742","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK007","Klinik Kesihatan Gunung Besout","Jln Klinik  35600  Batang Padang","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT117","NBE","PERAK","BATANG PADANG","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480091","Products Installed",
"562","02 11","QMS 02/11/04/014743","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK002","Klinik Kesihatan Slim River","Jln Indah  35800  Batang Padang","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT113","NBE","PERAK","BATANG PADANG","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480283","Products Installed",
"563","02 11","QMS 02/11/04/014744","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK003","Klinik Kesihatan Sungkai","Jln Pekan Lama  35600  Batang Padang","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT115","NBE","PERAK","BATANG PADANG","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480174","Products Installed",
"564","02 11","QMS 02/11/04/014745","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK004","Klinik Kesihatan Tanjung Malim","Tanjung Malim Batang Padang 35950 Tanjung Malim Perak","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT064","NBE","PERAK","BATANG PADANG","2017-08-02 8:00AM","2017-08-02 8:00AM","1704033826","Products Installed",
"565","02 11","QMS 02/11/04/014746","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK004","Klinik Kesihatan Tanjung Malim","Tanjung Malim Batang Padang 35950 Tanjung Malim Perak","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT065","NBE","PERAK","BATANG PADANG","2017-08-02 8:00AM","2017-08-02 8:00AM","1704033756","Products Installed",
"566","02 11","QMS 02/11/04/014747","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK006","Klinik Kesihatan Tapah","Jalan Damai  35000  Tapah","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT035","NBE","PERAK","BATANG PADANG","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480098","Products Installed",
"567","02 11","QMS 02/11/04/014748","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK006","Klinik Kesihatan Tapah","Jalan Damai  35000  Tapah","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT036","NBE","PERAK","BATANG PADANG","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480180","Products Installed",
"568","02 11","QMS 02/11/04/014749","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK009","Klinik Kesihatan Chenderong Balai","Jalan Besar Chenderong Balai 36600  Hilir Perak","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT119","NBE","PERAK","HILIR PERAK","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480100","Products Installed",
"569","02 11","QMS 02/11/04/014750","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK029","Klinik Kesihatan Gopeng","Jln  Dr Raja Nazrin  31600  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT047","NBE","PERAK","KAMPAR","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480230","Products Installed",
"570","02 11","QMS 02/11/04/014751","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK029","Klinik Kesihatan Gopeng","Jln  Dr Raja Nazrin  31600  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT048","NBE","PERAK","KAMPAR","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480158","Products Installed",
"571","02 11","QMS 02/11/04/014752","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK033","Klinik Kesihatan Kampar","Jln  Degong  31900  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT051","NBE","PERAK","KAMPAR","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480114","Products Installed",
"572","02 11","QMS 02/11/04/014753","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK033","Klinik Kesihatan Kampar","Jln  Degong  31900  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT052","NBE","PERAK","KAMPAR","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480153","Products Installed",
"573","02 11","QMS 02/11/04/014754","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK042","Klinik Kesihatan Malim Nawar","Jln  Malim Nawar  31700  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT087","NBE","PERAK","KAMPAR","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480236","Products Installed",
"574","02 11","QMS 02/11/04/014755","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK042","Klinik Kesihatan Malim Nawar","Jln  Malim Nawar  31700  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT088","NBE","PERAK","KAMPAR","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480242","Products Installed",
"575","02 11","QMS 02/11/04/014756","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK018","Klinik Kesihatan Alor Pongsu","Jalan Alor Pongsu  34300  Bagan Serai","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT121","NBE","PERAK","KERIAN","2017-08-02 8:00AM","2017-08-02 8:00AM","4849360067","Products Installed",
"576","02 11","QMS 02/11/04/014757","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK019","Klinik Kesihatan Bagan Serai","Jalan Taiping  34300  Bagan Serai","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT039","NBE","PERAK","KERIAN","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480323","Products Installed",
"577","02 11","QMS 02/11/04/014758","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK020","Klinik Kesihatan Jalan Baru","Jln Tanah Kebun  34200  Kerian","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT122","NBE","PERAK","KERIAN","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480036","Products Installed",
"578","02 11","QMS 02/11/04/014759","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK027","Klinik Kesihatan Bijih Timah","Jln  Treacher  30000  Ipoh","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT078","NBE","PERAK","KINTA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480160","Products Installed",
"579","02 11","QMS 02/11/04/014760","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK027","Klinik Kesihatan Bijih Timah","Jln  Treacher  30000  Ipoh","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT079","NBE","PERAK","KINTA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480160","Products Installed",
"580","02 11","QMS 02/11/04/014761","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK043","Klinik Kesihatan Buntung","Jln  Taman Rishah 30100  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT125","NBE","PERAK","KINTA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480233","Products Installed",
"581","02 11","QMS 02/11/04/014762","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK028","Klinik Kesihatan Chemor","Jln  Tanah Hitam   31200  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT043","NBE","PERAK","KINTA","2017-08-02 8:00AM","2017-08-02 8:00AM","1704033751","Products Installed",
"582","02 11","QMS 02/11/04/014763","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK028","Klinik Kesihatan Chemor","Jln  Tanah Hitam   31200  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT044","NBE","PERAK","KINTA","2017-08-02 8:00AM","2017-08-02 8:00AM","1704033740","Products Installed",
"583","02 11","QMS 02/11/04/014764","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK034","Klinik Kesihatan Kampung Simee","Jln  Kompleks Sukan  31400  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT056","NBE","PERAK","KINTA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480138","Products Installed",
"584","02 11","QMS 02/11/04/014765","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK034","Klinik Kesihatan Kampung Simee","Jln  Kompleks Sukan  31400  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT057","NBE","PERAK","KINTA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480104","Products Installed",
"585","02 11","QMS 02/11/04/014766","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Ophthalmoscopes","Rudolf Riester GmbH","Ri-Scope 3812-203.002","Ophthalmoscopes","PRK035","Klinik Kesihatan Manjoi","Jln  Masjid  30100  Kinta","KK","Batch 4","NORTHERN","PO108524","2016-02-01","PRNOPT060","NBE","PERAK","KINTA","2017-08-02 8:00AM","2017-08-02 8:00AM","4896480225","Products Installed",
